timestamp	 clinton_538_po	 clinton_538_po	 clinton_bf	 trump_bf	 clinton_538_nc	 clinton_538_nc	 clinton_538_pp	 clinton_538_pp
2016-10-27 11:55:00 -0400	0.8436	0.156	0.83	0.17	0.842	0.1567	0.8223	0.1771
2016-10-27 11:33:00 -0400	0.8425	0.1572	0.83	0.17	0.8422	0.1573	0.8205	0.1786
2016-10-27 09:43:00 -0400	0.8466	0.1527	0.83	0.17	0.8423	0.157	0.8242	0.175
2016-10-27 08:51:00 -0400	0.8461	0.1532	0.83	0.173	0.8499	0.1497	0.831	0.1686
2016-10-27 01:58:00 -0400	0.8565	0.1432	0.83	0.171	0.8628	0.1366	0.8376	0.1618
2016-10-26 21:48:00 -0400	0.85415	0.14545	0.83	0.171	0.8592	0.1401	0.8323	0.1672
2016-10-26 18:45:00 -0400	0.8542	0.1456	0.83	0.168	0.8624	0.1371	0.8344	0.1645
2016-10-26 18:12:00 -0400	0.8582	0.1413	0.83	0.168	0.8659	0.1335	0.8385	0.161
2016-10-26 17:27:00 -0400	0.8606	0.1391	0.83	0.168	0.8722	0.1273	0.8367	0.163
2016-10-26 16:46:00 -0400	0.8436	0.1557	0.83	0.168	0.8519	0.1473	0.823	0.1764
2016-10-26 15:40:00 -0400	0.8493	0.1505	0.83	0.168	0.8525	0.1471	0.8252	0.1746
2016-10-26 14:32:00 -0400	0.8505	0.1491	0.83	0.168	0.8541	0.1453	0.8231	0.1766
2016-10-26 14:13:00 -0400	0.842	0.1579	0.83	0.168	0.8468	0.1526	0.8213	0.1782
2016-10-26 13:32:00 -0400	0.8447	0.1546	0.83	0.168	0.8474	0.1518	0.8168	0.1829
2016-10-26 11:29:00 -0400	0.8468	0.1528	0.833	0.165	0.8566	0.1424	0.8302	0.1693
2016-10-26 08:58:00 -0400	0.8457	0.1541	0.84	0.159	0.8525	0.1465	0.8218	0.1777
2016-10-26 08:39:00 -0400	0.843	0.1566	0.84	0.159	0.8505	0.1489	0.8195	0.18
2016-10-25 23:20:00 -0400	0.85045	0.1491	0.848	0.154	0.85635	0.143	0.82635	0.17325
2016-10-25 20:14:00 -0400	0.8475	0.152	0.851	0.152	0.8573	0.1423	0.8271	0.1726
2016-10-25 16:41:00 -0400	0.8537	0.1462	0.848	0.152	0.8607	0.1387	0.8298	0.1696
2016-10-25 16:09:00 -0400	0.8538	0.1457	0.848	0.152	0.8625	0.137	0.8323	0.1672
2016-10-25 15:15:00 -0400	0.8553	0.1446	0.848	0.152	0.8602	0.1393	0.8322	0.1674
2016-10-25 14:30:00 -0400	0.8534	0.1462	0.848	0.152	0.8578	0.142	0.8287	0.1706
2016-10-25 14:10:00 -0400	0.8584	0.1414	0.848	0.152	0.8608	0.139	0.8323	0.1676
2016-10-25 13:52:00 -0400	0.8553	0.1444	0.848	0.152	0.865	0.1347	0.8372	0.1624
2016-10-25 13:12:00 -0400	0.8591	0.1405	0.848	0.152	0.8661	0.1331	0.832	0.1674
2016-10-25 11:10:00 -0400	0.8596	0.1401	0.855	0.148	0.863	0.136	0.8301	0.1695
2016-10-25 10:16:00 -0400	0.8645	0.1353	0.855	0.148	0.8705	0.1286	0.8438	0.1559
